Player;Position;Updated;Injury;Injury Status
T. SorberThomas Sorber;PF;Sun, May 31;Knee;Expected to be out until at least Jul 2
A. MitchellAjay Mitchell;PG;Sat, May 30;Calf;Expected to be out until at least Oct 1
J. WilliamsJalen Williams;SF;Sat, May 30;Hamstring;Expected to be out until at least Oct 1
F. WagnerFranz Wagner;PF;Sun, May 3;Calf;Expected to be out until at least Oct 1
J. IsaacJonathan Isaac;PF;Sun, May 3;Knee;Expected to be out until at least Oct 1
J. GoodwinJordan Goodwin;SG;Tue, Apr 28;Calf;Expected to be out until at least Oct 1
M. WilliamsMark Williams;C;Tue, Apr 28;Foot;Expected to be out until at least Oct 1
D. LillardDamian Lillard;PG;Tue, Oct 28;Achilles;Expected to be out until at least Oct 1
I. StevensIsaiah Stevens;PG;Mon, Apr 13;Ankle;Expected to be out until at least Oct 1
K. MurrayKeegan Murray;PF;Sat, Apr 11;Ankle;Expected to be out until at least Oct 1
D. DeRozanDeMar DeRozan;SF;Sat, Apr 11;Hamstring;Expected to be out until at least Oct 1
R. WestbrookRussell Westbrook;PG;Sat, Apr 11;Toe;Expected to be out until at least Oct 1
M. MonkMalik Monk;SG;Sat, Apr 11;Personal;Expected to be out until at least Oct 1
D. EubanksDrew Eubanks;C;Sun, Mar 15;Thumb;Expected to be out until at least Oct 1
D. HunterDe'Andre Hunter;SF;Fri, Feb 20;Eye;Expected to be out until at least Oct 1
Z. LaVineZach LaVine;SG;Thu, Feb 19;Finger;Expected to be out until at least Oct 1
D. SabonisDomantas Sabonis;C;Wed, Feb 18;Knee;Expected to be out until at least Oct 1
D. JonesDavid Jones;SF;Wed, Feb 4;Ankle;Out for the season
B. IngramBrandon Ingram;SF;Sun, May 3;Heel;Expected to be out until at least Oct 1
I. QuickleyImmanuel Quickley;PG;Sun, May 3;Hamstring;Expected to be out until at least Oct 1
C. HepburnChucky Hepburn;PG;Mon, Apr 13;Knee;Expected to be out until at least Jul 2
K. FilipowskiKyle Filipowski;PF;Sat, Apr 11;Back;Expected to be out until at least Oct 1
K. GeorgeKeyonte George;SG;Sat, Apr 11;Hamstring;Expected to be out until at least Oct 1
I. CollierIsaiah Collier;PG;Sat, Apr 11;Hamstring;Expected to be out until at least Oct 1
L. MarkkanenLauri Markkanen;PF;Sat, Apr 11;Hip;Expected to be out until at least Oct 1
E. HarklessEJ Harkless;SG;Sat, Apr 11;Hamstring;Expected to be out until at least Oct 1
J. NurkicJusuf Nurkic;C;Mon, Feb 23;Nose;Expected to be out until at least Oct 1
J. Jackson Jr.Jaren Jackson Jr.;PF;Thu, Feb 12;Knee;Expected to be out until at least Oct 1
W. KesslerWalker Kessler;C;Wed, Nov 5;Shoulder;Expected to be out until at least Oct 1
B. CoulibalyBilal Coulibaly;SF;Sat, Apr 11;Heel;Expected to be out until at least Oct 1
T. VukcevicTristan Vukcevic;PF;Sat, Apr 11;Knee;Expected to be out until at least Oct 1
A. SarrAlex Sarr;C;Sat, Apr 11;Toe;Expected to be out until at least Oct 1
T. JohnsonTre Johnson;SG;Sat, Apr 11;Foot;Expected to be out until at least Oct 1
D. RussellD'Angelo Russell;PG;Wed, Apr 8;Not Injury Related;Expected to be out until at least Oct 1
T. YoungTrae Young;PG;Tue, Apr 7;Quadriceps;Expected to be out until at least Oct 1
A. DavisAnthony Davis;C;Tue, Apr 7;Finger;Expected to be out until at least Oct 1
K. GeorgeKyshawn George;SF;Thu, Apr 2;Elbow;Expected to be out until at least Oct 1
C. WhitmoreCam Whitmore;SG;Sat, Jan 17;Shoulder;Expected to be out until at least Oct 1
