name,school,pos,age,ht,bpm,ppg,rpg,apg,spg,bpg,topg,ts_pct
Henri Veesaar,North Carolina,W-F,22.2,7'0,9.6,17.0,8.7,2.1,0.6,1.2,1.8,66.4
Darrion Williams,N.C. State,G-W,23.2,6'6,3.9,14.0,4.6,2.8,1.1,0.3,1.6,53.3
Tarris Reed Jr.,Connecticut,C,22.9,6'10,11.6,14.7,9.0,2.3,0.9,2.0,1.9,61.4
Ryan Conwell,Louisville,G,22.0,6'3,5.9,18.8,4.8,2.7,1.1,0.2,2.3,56.6
Nate Bittle,Oregon,F-C,23.1,7'0,8.0,16.8,6.9,2.6,0.9,1.8,2.2,56.3
Bruce Thornton,Ohio St.,G,22.8,6'2,11.6,19.9,5.1,3.9,1.1,0.2,1.3,66.5
Alex Karaban,Connecticut,W-F,23.6,6'8,7.8,13.2,5.3,2.4,0.8,0.8,1.1,59.0
Trevon Brazile,Arkansas,W-F,23.5,6'10,8.1,13.0,7.3,1.6,1.5,1.6,1.1,61.9
Quadir Copeland,N.C. State,G,22.7,6'6,6.3,13.9,3.6,6.5,1.8,0.1,2.8,59.2
Nick Martinelli,Northwestern,W-F,22.2,6'7,7.3,23.0,6.2,2.0,0.8,0.4,1.4,60.2
Tamin Lipsey,Iowa St.,G,23.0,6'1,9.9,13.5,3.9,5.1,2.3,0.0,1.5,54.0
Jaden Bradley,Arizona,G,22.8,6'3,7.5,13.3,3.4,4.4,1.4,0.1,1.8,56.8
Dillon Mitchell,St. John's,F-C,22.7,6'8,8.2,8.3,7.0,3.0,1.3,0.7,1.0,55.5
Kylan Boswell,Illinois,G,21.2,6'2,5.8,12.3,4.0,3.0,0.7,0.0,1.1,55.9
Emanuel Sharp,Houston,G,22.3,6'3,9.4,15.5,3.0,1.7,1.2,0.1,0.9,58.2
Tucker DeVries,Indiana,G-W,23.6,6'7,6.1,13.7,5.2,3.3,1.1,0.6,1.5,54.6
Tyler Nickel,Vanderbilt,G-W,22.8,6'7,6.6,13.5,3.2,1.2,0.8,0.5,0.7,61.7
Micah Handlogten,Florida,C,22.5,7'1,7.3,4.1,5.9,0.7,0.5,0.9,0.7,61.0
Oscar Cluff,Purdue,C,24.6,6'11,10.0,10.6,7.5,1.8,0.5,0.9,0.8,69.4
Rafael Castro,George Washington,C,23.2,6'11,8.9,15.3,9.1,1.7,1.8,1.7,1.9,64.6
Ja'Kobi Gillespie,Tennessee,G,22.3,6'1,9.9,18.4,2.8,5.4,2.1,0.2,2.3,53.8
